epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4844.75,0.48671,0.55429,0.91606,0.55632,0.68309,0.64329,0.57934,0.4608,0.45434,0.8131,0.0005941,0.0005941,0.0005941
43,4959.74,0.48596,0.55493,0.9123,0.515,0.60991,0.60164,0.54064,0.46764,0.52538,0.81956,0.0005842,0.0005842,0.0005842
44,5101.28,0.48143,0.5211,0.92354,0.59961,0.62877,0.63428,0.57112,0.47711,0.44746,0.82298,0.0005743,0.0005743,0.0005743
45,5254.81,0.48408,0.53596,0.91948,0.63817,0.58799,0.62109,0.55109,0.47648,0.45771,0.81795,0.0005644,0.0005644,0.0005644
46,5377.52,0.49675,0.53781,0.92222,0.54689,0.5454,0.59693,0.53438,0.46743,0.48232,0.81751,0.0005545,0.0005545,0.0005545
47,5524.33,0.48535,0.537,0.92309,0.48946,0.63256,0.5997,0.5377,0.48556,0.46775,0.82412,0.0005446,0.0005446,0.0005446
48,5651.44,0.48034,0.53046,0.91391,0.64008,0.60669,0.63835,0.57901,0.45239,0.43104,0.80938,0.0005347,0.0005347,0.0005347
49,5785.38,0.47055,0.50968,0.91323,0.58753,0.61946,0.62978,0.56975,0.44685,0.44682,0.80468,0.0005248,0.0005248,0.0005248
50,5919.84,0.46414,0.51029,0.90945,0.62454,0.61596,0.62657,0.56905,0.44706,0.44618,0.8077,0.0005149,0.0005149,0.0005149
51,6039.48,0.45698,0.51252,0.91434,0.57375,0.60099,0.60441,0.54513,0.45592,0.47583,0.81622,0.000505,0.000505,0.000505
